news_title,news_category,created_at,scrapped_at,url,image
[POPULER OTOMOTIF] Apakah Harus Menunggu Lampu Indikator Mati Sebelum Starter Mobil? | Alasan Menyalakan Mobil Matik Harus Injak Rem Dahulu,OTOMOTIF,08-09-2024,2024-09-08 07:03:05,https://otomotif.kompas.com/read/2024/09/08/070043015/populer-otomotif-apakah-harus-menunggu-lampu-indikator-mati-sebelum-starter,https://asset.kompas.com/crops/uRtMNbncFcSugJjGSiMXEIIWSrE=/96x0:681x390/230x152/data/photo/2022/03/16/6231930d98f01.jpg
"Kopi Berpotensi Redakan 6 Penyakit Ini, Apa Saja?",TREN,08-09-2024,2024-09-08 07:03:06,https://www.kompas.com/tren/read/2024/09/08/070000965/kopi-berpotensi-redakan-6-penyakit-ini-apa-saja-,https://asset.kompas.com/crops/LnIx1pJ-AlIGIqyA_bG-FifT_1Q=/286x236:2578x1764/230x152/data/photo/2023/09/18/65080d3626da9.jpg
"Prakiraan Cuaca di Bandung Hari Ini, 8 September 2024: Udara Kabur hingga Cerah Berawan",REGIONAL,08-09-2024,2024-09-08 07:03:06,https://bandung.kompas.com/read/2024/09/08/070000878/prakiraan-cuaca-di-bandung-hari-ini-8-september-2024--udara-kabur-hingga,https://asset.kompas.com/crops/PDxcELhqLu5kaYNC_IsrfBVTELw=/105x111:905x645/230x152/data/photo/2024/05/02/66339d6f05d82.jpg
Bahagianya Kim Soo Hyun Gelar Fan Meeting Lagi Setelah 10 Tahun,HYPE,08-09-2024,2024-09-08 07:03:07,https://www.kompas.com/hype/read/2024/09/08/070000866/bahagianya-kim-soo-hyun-gelar-fan-meeting-lagi-setelah-10-tahun-,https://asset.kompas.com/crops/FCTm8W5F8Qz_UpNUB2YmQGoEgv0=/0x0:0x0/230x152/data/photo/2024/09/07/66dc7b3997f03.jpeg
Apakah Karpet Persia Bisa Menjadi Investasi yang Menguntungkan?,PROPERTI,08-09-2024,2024-09-08 07:03:07,https://www.kompas.com/properti/read/2024/09/08/070000721/apakah-karpet-persia-bisa-menjadi-investasi-yang-menguntungkan-,https://asset.kompas.com/crops/cmUEuQE53VCO0QRk8COwPG9HQ_8=/0x0:720x480/230x152/data/photo/2022/07/05/62c39afc38f69.jpg
"Selain Pemerintah, Keterlibatan Swasta Penting Capai NZE",LESTARI,08-09-2024,2024-09-08 07:03:08,https://lestari.kompas.com/read/2024/09/08/070000886/selain-pemerintah-keterlibatan-swasta-penting-capai-nze,https://asset.kompas.com/crops/4ziuZj5401K0A1TM8f27iLrKo6A=/0x0:779x519/230x152/data/photo/2022/04/26/62679d700e5f0.jpg
Mengapa 41 Daerah Hanya Punya Calon Tunggal di Pilkada 2024?,NEWS,08-09-2024,2024-09-08 07:03:08,https://nasional.kompas.com/read/2024/09/08/07000061/mengapa-41-daerah-hanya-punya-calon-tunggal-di-pilkada-2024-,https://asset.kompas.com/crops/PxEAVR0HaQUC0zOJIhRy1HXVqCU=/0x0:750x500/230x152/data/photo/2024/04/30/66304a992a155.jpg
"Prakiraan Cuaca di Kota Malang Hari Ini, 8 September 2024 : Sore Cerah Berawan",REGIONAL,08-09-2024,2024-09-08 07:03:09,https://surabaya.kompas.com/read/2024/09/08/065800478/prakiraan-cuaca-di-kota-malang-hari-ini-8-september-2024---sore-cerah,https://asset.kompas.com/crops/Th8fRwYX0CJwkfehgou4gtTLMMw=/0x0:0x0/230x152/data/photo/2022/04/03/62497d18b8565.jpg
"Prakiraan Cuaca di Kota Surabaya Hari Ini, 8 September 2024 : Pagi Cerah Berawan",REGIONAL,08-09-2024,2024-09-08 07:03:09,https://surabaya.kompas.com/read/2024/09/08/065600078/prakiraan-cuaca-di-kota-surabaya-hari-ini-8-september-2024---pagi-cerah,https://asset.kompas.com/crops/RCWyI21DzNziJqisdaU6YvAHDDs=/0x0:1000x667/230x152/data/photo/2022/11/20/637a55e8b7ef6.jpg
"Prakiraan Cuaca di Kota Medan Hari Ini, 8 September 2024 : Malam Hujan Ringan",REGIONAL,08-09-2024,2024-09-08 07:03:10,https://medan.kompas.com/read/2024/09/08/065000678/prakiraan-cuaca-di-kota-medan-hari-ini-8-september-2024---malam-hujan-ringan,https://asset.kompas.com/crops/354S38S2Nm25li5ONxd9KAJUw78=/20x0:1024x669/230x152/data/photo/2024/07/05/66871b6e0d192.jpg
"Miliki Modal 14,3 Juta Suara, 15 Parpol di KIM Plus Jateng Yakin Menangkan Luthfi-Yasin dalam Pilkada Jateng",REGIONAL,08-09-2024,2024-09-08 07:03:10,https://regional.kompas.com/read/2024/09/08/064931678/miliki-modal-143-juta-suara-15-parpol-di-kim-plus-jateng-yakin-menangkan,https://asset.kompas.com/crops/IZbdlPSQdQ9ef_SFs_KdyBHPIyU=/0x0:0x0/230x152/data/photo/2024/09/07/66dc0e9657d82.jpg
"Prakiraan Cuaca di Kota Bogor Hari Ini, 8 September 2024 : Sore Hujan Petir",REGIONAL,08-09-2024,2024-09-08 07:03:11,https://regional.kompas.com/read/2024/09/08/064600878/prakiraan-cuaca-di-kota-bogor-hari-ini-8-september-2024---sore-hujan-petir,https://asset.kompas.com/crops/3oRGUZT0e4Tp4Ke4lqLF2QL7Hms=/75x50:675x450/230x152/data/photo/2022/10/10/634359685046d.jpg
"Hasil Irlandia Vs Inggris, Alasan Declan Rice Tidak Merayakan Gol",BOLA,08-09-2024,2024-09-08 07:03:11,https://bola.kompas.com/read/2024/09/08/06413438/hasil-irlandia-vs-inggris-alasan-declan-rice-tidak-merayakan-gol,https://asset.kompas.com/crops/erg-VsRqIwClAARpbks9NLMXu_Y=/159x0:850x461/230x152/data/photo/2024/09/08/66dce40130903.jpg
"Prakiraan Cuaca Denpasar Hari Ini, 8 Spetember 2024 : Siang Ini Cerah Berawan",REGIONAL,08-09-2024,2024-09-08 07:03:12,https://denpasar.kompas.com/read/2024/09/08/063600678/prakiraan-cuaca-denpasar-hari-ini-8-spetember-2024---siang-ini-cerah,https://asset.kompas.com/crops/1vyBBWJhqgz4Y_dfrdeHq3cPowk=/0x71:2296x1602/230x152/data/photo/2022/02/04/61fccf76c2e11.jpg
Apa Saja Suplemen Penurun Gula Darah Tinggi? Ini Daftarnya,TREN,08-09-2024,2024-09-08 07:03:12,https://www.kompas.com/tren/read/2024/09/08/063000365/apa-saja-suplemen-penurun-gula-darah-tinggi-ini-daftarnya,https://asset.kompas.com/crops/ViKh8TOiaN7Zu8nJkAxmBFMGKLo=/128x85:1152x768/230x152/data/photo/2021/09/14/6140a657a96d4.jpg
Beredar Videotron Foto Khofifah-Emil bersanding dengan Eri-Armuji di Surabaya,REGIONAL,08-09-2024,2024-09-08 07:03:13,https://surabaya.kompas.com/read/2024/09/08/062515878/beredar-videotron-foto-khofifah-emil-bersanding-dengan-eri-armuji-di,https://asset.kompas.com/crops/b9wJutzHN4xkQXcmg19GJyZNYe4=/0x0:0x0/230x152/data/photo/2024/09/07/66dc562857d6b.jpeg
Serangan Israel di Gaza Tewaskan 61 Orang dalam 48 Jam,GLOBAL,08-09-2024,2024-09-08 07:03:13,https://www.kompas.com/global/read/2024/09/08/062351070/serangan-israel-di-gaza-tewaskan-61-orang-dalam-48-jam,https://asset.kompas.com/crops/xlAnjX0IeOUsze7SmxgaKnUhPPM=/159x0:684x350/230x152/data/photo/2024/08/10/66b7173d99e23.jpg
[POPULER MONEY] Blak-blakan Bos AirAsia: Avtur yang Dijual di RI Termahal se-ASEAN | Efek Domino Gangguan Layanan E-Meterai,MONEY,08-09-2024,2024-09-08 07:03:14,https://money.kompas.com/read/2024/09/08/062200926/-populer-money-blak-blakan-bos-airasia--avtur-yang-dijual-di-ri-termahal-se,https://asset.kompas.com/crops/b__ninuABLDOP7L091FqKhBDcGY=/0x0:0x0/230x152/data/photo/2024/09/05/66d95294dd471.jpg
"Hilang 2 Hari, Kakek di Alor Ditemukan Tewas di Kebun",REGIONAL,08-09-2024,2024-09-08 07:03:14,https://regional.kompas.com/read/2024/09/08/061932878/hilang-2-hari-kakek-di-alor-ditemukan-tewas-di-kebun,https://asset.kompas.com/crops/1NQmrP83O-oMkVMxRlwOCcG356E=/0x0:0x0/230x152/data/photo/2024/09/07/66dc5014bd259.jpg
Festival Pasar Rakyat 2024 Digelar di Pasar Rangkasbitung 7-8 September 2024,TRAVEL,08-09-2024,2024-09-08 07:03:15,https://travel.kompas.com/read/2024/09/08/061827927/festival-pasar-rakyat-2024-digelar-di-pasar-rangkasbitung-7-8-september-2024,https://asset.kompas.com/crops/8lL08IkZwNYNEGYzEmTFhhUNO0I=/131x0:3506x2250/230x152/data/photo/2024/09/07/66dc433fa5aa9.jpg
"Hasil Evaluasi, Penanganan Tanggap Darurat Banjir Bandang Ternate Masih Banyak Masalah",REGIONAL,08-09-2024,2024-09-08 07:03:15,https://regional.kompas.com/read/2024/09/08/061553078/hasil-evaluasi-penanganan-tanggap-darurat-banjir-bandang-ternate-masih,https://asset.kompas.com/crops/0Y8DXgFmARhZSWljEDwQb98kqew=/0x0:0x0/230x152/data/photo/2024/09/08/66dcbfaf7a976.jpg
"Dalam 1 Jam, Perampok Ini Beraksi di 2 Minimarket di Kediri, Gasak Rp 72 Juta",REGIONAL,08-09-2024,2024-09-08 07:03:16,https://surabaya.kompas.com/read/2024/09/08/060900878/dalam-1-jam-perampok-ini-beraksi-di-2-minimarket-di-kediri-gasak-rp-72-juta,https://asset.kompas.com/crops/pafclHUGfOpqEw284x4sE_D-_8s=/1078x237:1554x555/230x152/data/photo/2024/09/06/66dabef045ac1.jpg
"Tijani Reijnders Trengginas bagi Belanda, Sehati dengan Zirkzee",BOLA,08-09-2024,2024-09-08 07:03:16,https://bola.kompas.com/read/2024/09/08/06014448/tijani-reijnders-trengginas-bagi-belanda-sehati-dengan-zirkzee,https://asset.kompas.com/crops/JDgvSNaF-qPXIzSXV0S26vGIOBg=/198x0:760x375/230x152/data/photo/2024/09/08/66dcda10e39f7.jpg
"Jadi ""New Economic Hub"", IKN Sukses Tarik Investasi Rp 56,8 Triliun",IKN,08-09-2024,2024-09-08 07:03:17,https://ikn.kompas.com/read/2024/09/08/060000587/jadi-new-economic-hub-ikn-sukses-tarik-investasi-rp-56-8-triliun,https://asset.kompas.com/crops/WItmjOL1IZ50n50mgiWdEkOCD0U=/210x140:3239x2159/230x152/data/photo/2024/07/25/66a22d950727d.jpg
